cluster	status	loglr	df	p	p.adjust	genes
chr17:clu_13699_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARL17A
chr17:clu_13700_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13701_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARL17A,ARL17B
chr17:clu_13702_NA	Success	1.25506780648959	2	0.285056518887253	0.695187481995484	LRRC37A2
chr17:clu_13703_NA	Success	0.00149496120265269	1	0.956393257469361	0.982195405082521	LRRC37A2
chr17:clu_13704_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NSF,NSFP1
chr17:clu_13705_NA	Success	1.51200252535619	2	0.220468042767975	0.645716100318467	NSF
chr17:clu_13706_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GOSR2
chr17:clu_13707_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GOSR2
chr17:clu_13708_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GOSR2
chr17:clu_13709_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13710_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13711_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13712_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13713_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13714_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr17:clu_13715_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDC27
chr17:clu_13716_NA	Success	5.7274968796587	2	0.00325521523963889	0.128860590314204	CDC27
chr17:clu_13717_NA	Not enough valid samples	NA	NA	NA	NA	CDC27
chr17:clu_13718_NA	Success	0.00279907976528193	1	0.940357252754451	0.977500013985977	CDC27
chr17:clu_13719_NA	Success	0.263409909577604	2	0.768426847220184	0.914156017858618	CDC27
chr17:clu_13720_NA	Success	2.39179951710503	3	0.188346427147413	0.614791233751139	CDC27
chr17:clu_13721_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDC27
chr17:clu_13722_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EFCAB13,ITGB3
chr17:clu_13723_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EFCAB13
chr17:clu_13724_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EFCAB13
chr17:clu_13725_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EFCAB13
chr17:clu_13726_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EFCAB13
chr17:clu_13727_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MRPL45P2
chr17:clu_13728_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MRPL45P2
chr17:clu_13729_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MRPL45P2
chr17:clu_13730_NA	Success	0.296675393380042	1	0.441126307591641	0.779756509444032	NPEPPS
chr17:clu_13731_NA	Success	2.21663209471133	1	0.0352450416303839	0.385156620189661	NPEPPS
chr17:clu_13732_NA	Success	0.0649461467013452	1	0.718543738925386	0.894904890831134	NPEPPS
chr17:clu_13733_NA	Not enough valid samples	NA	NA	NA	NA	NPEPPS
chr17:clu_13734_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPEPPS
chr17:clu_13735_NA	Success	0.529579394594862	1	0.303407124044562	0.700996168341255	KPNB1
chr17:clu_13736_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KPNB1
chr17:clu_13737_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	OSBPL7
chr17:clu_13738_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SP2
chr17:clu_13739_NA	Not enough valid samples	NA	NA	NA	NA	CDK5RAP3
chr17:clu_13740_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK5RAP3
chr17:clu_13741_NA	Success	0.0204884628240904	2	0.979719999611292	0.991320503778241	NFE2L1
chr17:clu_13742_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CBX1
chr17:clu_13743_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SNX11
chr17:clu_13744_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TTLL6
chr17:clu_13745_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TTLL6
chr17:clu_13746_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CALCOCO2
chr17:clu_13747_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CALCOCO2
chr17:clu_13748_NA	Success	2.28303299626987	2	0.101974449082433	0.521357300374694	CALCOCO2
chr17:clu_13749_NA	Success	0.154428462955138	1	0.57838246972036	0.836360184697958	CALCOCO2
chr17:clu_13750_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE2Z
chr17:clu_13751_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SNF8
chr17:clu_13752_NA	Success	3.047580169502	4	0.192153459885623	0.619436619775148	ZNF652
chr17:clu_13753_NA	Success	0.0715763411323422	1	0.705166719603788	0.891115050666185	ZNF652
chr17:clu_13754_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LOC102724596
chr17:clu_13755_NA	Not enough valid samples	NA	NA	NA	NA	SPOP
chr17:clu_13756_NA	Success	0.561802028771723	2	0.570180655570041	0.832061642607549	SLC35B1
chr17:clu_13757_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC35B1
chr17:clu_13758_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC35B1
chr17:clu_13759_NA	Success	3.52405745753185	2	0.0294795800347187	0.362347462018071	KAT7
chr17:clu_13760_NA	Success	1.14486009503275	2	0.318268442011721	0.710070905580188	KAT7
chr17:clu_13761_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ITGA3
chr17:clu_13762_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ITGA3
chr17:clu_13763_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ITGA3
chr17:clu_13764_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ITGA3
chr17:clu_13765_NA	Not enough valid samples	NA	NA	NA	NA	ITGA3
chr17:clu_13766_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PDK2
chr17:clu_13767_NA	Success	0.625903073555946	2	0.534778266275736	0.815929546294459	PDK2
chr17:clu_13768_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PPP1R9B
chr17:clu_13769_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHAD
chr17:clu_13770_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RSAD1
chr17:clu_13771_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MYCBPAP
chr17:clu_13772_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MYCBPAP
chr17:clu_13773_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SPATA20
chr17:clu_13774_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SPATA20
chr17:clu_13775_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CACNA1G
chr17:clu_13776_NA	Success	0.280956992278959	1	0.453490095469416	0.783938198357573	CACNA1G
chr17:clu_13777_NA	Not enough valid samples	NA	NA	NA	NA	CACNA1G
chr17:clu_13778_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CACNA1G
chr17:clu_13779_NA	Success	3.62509549941751	8	0.509895352111386	0.80835424077619	LUC7L3
chr17:clu_13780_NA	Success	5.60650845876876	2	0.00367387447413112	0.137492730454039	LUC7L3
chr17:clu_13781_NA	Success	16.2767148546445	15	0.00540860304929812	0.172009207169484	LUC7L3
chr17:clu_13782_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LUC7L3
chr17:clu_13783_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SPAG9
chr17:clu_13784_NA	Success	0.842139538665663	2	0.430787849472104	0.772918278405202	SPAG9
chr17:clu_13785_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPAG9
chr17:clu_13786_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPAG9
chr17:clu_13787_NA	Success	7.09774996727765	7	0.0478114634003054	0.427773682946705	SPAG9
chr17:clu_13788_NA	Success	0.914330630051154	2	0.400784809631325	0.757233717244826	SPAG9
chr17:clu_13789_NA	Success	0.328999615051998	2	0.71964329377227	0.895351651745294	SPAG9
chr17:clu_13790_NA	Success	1.47305994651964	1	0.0860840117557047	0.497943780275625	SPAG9
chr17:clu_13791_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NME1-NME2,NME1
chr17:clu_13792_NA	Not enough valid samples	NA	NA	NA	NA	NME1,NME1-NME2,NME2
chr17:clu_13793_NA	Success	0.205842537091371	2	0.8139612348961	0.92926340185792	NME1-NME2,NME2
chr17:clu_13794_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MBTD1
chr17:clu_13795_NA	Not enough valid samples	NA	NA	NA	NA	MBTD1
chr17:clu_13796_NA	Success	2.05589115808533	3	0.249643899158562	0.66932507906583	MBTD1
chr17:clu_13797_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MBTD1
chr17:clu_13798_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MBTD1
chr17:clu_13799_NA	Not enough valid samples	NA	NA	NA	NA	MBTD1
chr17:clu_13800_NA	Not enough valid samples	NA	NA	NA	NA	MBTD1
chr17:clu_13801_NA	Not enough valid samples	NA	NA	NA	NA	UTP18
chr17:clu_13802_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UTP18
chr17:clu_13803_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UTP18
chr17:clu_13804_NA	Success	0.00111369130991079	1	0.962357689272074	0.984425756687452	CA10
chr17:clu_13805_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TOM1L1
chr17:clu_13806_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TOM1L1
chr17:clu_13807_NA	Not enough valid samples	NA	NA	NA	NA	COX11
chr17:clu_13808_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COX11
chr17:clu_13809_NA	Not enough valid samples	NA	NA	NA	NA	TOM1L1
chr17:clu_13810_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TOM1L1
chr17:clu_13811_NA	Success	1.70995497889635	2	0.18087393557802	0.611098396962154	STXBP4
chr17:clu_13812_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STXBP4
chr17:clu_13813_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STXBP4
chr17:clu_13814_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STXBP4
chr17:clu_13815_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HLF
chr17:clu_13816_NA	Success	0.550492137929552	1	0.294050198350966	0.69907863344808	HLF
chr17:clu_13817_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MMD
chr17:clu_13818_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PCTP
chr17:clu_13819_NA	Success	1.97342810973691	2	0.138979601316851	0.568865885596001	DGKE
chr17:clu_13820_NA	Success	3.03846697912013	5	0.298804742922965	0.700638731907142	DGKE
chr17:clu_13821_NA	Success	1.48414640357615	1	0.084911418702409	0.495817287650298	DGKE
chr17:clu_13822_NA	Not enough valid samples	NA	NA	NA	NA	TRIM25
chr17:clu_13823_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TRIM25
chr17:clu_13824_NA	Not enough valid samples	NA	NA	NA	NA	SCPEP1
chr17:clu_13825_NA	Success	0.0165876882248384	1	0.855472003345358	0.943504123742362	SCPEP1
chr17:clu_13826_NA	Success	0.300300861982322	1	0.438348533190776	0.778065889950592	SCPEP1
chr17:clu_13827_NA	Success	1.5475132944501	1	0.0785318691972775	0.487084503666377	SCPEP1
chr17:clu_13828_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SCPEP1
chr17:clu_13829_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AKAP1
chr17:clu_13830_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MSI2
chr17:clu_13831_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MSI2
chr17:clu_13832_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MSI2
chr17:clu_13833_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MRPS23
chr17:clu_13834_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VEZF1
chr17:clu_13835_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VEZF1
chr17:clu_13836_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VEZF1
chr17:clu_13837_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VEZF1
chr17:clu_13838_NA	Success	0.420488382859958	1	0.359117564710958	0.736620338695932	NA
chr17:clu_13839_NA	Success	3.12285278417176	8	0.619730329765546	0.856646044849379	SRSF1
chr17:clu_13840_NA	Success	0.599549915328225	2	0.549058703395556	0.823029582131438	SRSF1
chr17:clu_13841_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SRSF1
chr17:clu_13842_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MKS1
chr17:clu_13843_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MKS1
chr17:clu_13844_NA	Not enough valid samples	NA	NA	NA	NA	BZRAP1
chr17:clu_13845_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BZRAP1-AS1
chr17:clu_13846_NA	Not enough valid samples	NA	NA	NA	NA	SUPT4H1
chr17:clu_13847_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SUPT4H1
chr17:clu_13848_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTMR4
chr17:clu_13849_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEPT4
chr17:clu_13850_NA	Not enough valid samples	NA	NA	NA	NA	SEPT4
chr17:clu_13851_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEPT4
chr17:clu_13852_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SEPT4
chr17:clu_13853_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SEPT4
chr17:clu_13854_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TEX14
chr17:clu_13855_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RAD51C
chr17:clu_13856_NA	Success	0.582859763154943	1	0.280282511413181	0.692903212999625	RAD51C
chr17:clu_13857_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RAD51C
chr17:clu_13858_NA	Success	5.49791700732976	7	0.138800842409111	0.568865885596001	RAD51C
chr17:clu_13859_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr17:clu_13860_NA	Success	3.39247781752834	2	0.0336252563422335	0.377862902425361	TRIM37
chr17:clu_13861_NA	Not enough valid samples	NA	NA	NA	NA	TRIM37
chr17:clu_13862_NA	Success	3.03425315095583	2	0.0481105808025776	0.428961755885385	TRIM37
chr17:clu_13863_NA	Success	0.0530620537001596	1	0.744600683945896	0.905166995866841	TRIM37
chr17:clu_13864_NA	Success	3.27960255935113	3	0.0873566163352713	0.49882965980529	TRIM37
chr17:clu_13865_NA	Success	0.167648178364288	2	0.845651300777968	0.939754262504095	TRIM37
chr17:clu_13866_NA	Success	1.61573904821716	4	0.519861748092829	0.810924617174217	TRIM37
chr17:clu_13867_NA	Success	0.0778445850503999	2	0.925108191014557	0.97077335108979	TRIM37
chr17:clu_13868_NA	Success	0.103233603002764	2	0.901916258524419	0.961345393521693	TRIM37
chr17:clu_13869_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SKA2
chr17:clu_13870_NA	Success	0.20266096965662	1	0.524353505447353	0.812623148549618	GDPD1
chr17:clu_13871_NA	Success	0.673436456810123	2	0.509953131345089	0.80835424077619	GDPD1
chr17:clu_13872_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	YPEL2
chr17:clu_13873_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LINC01476
chr17:clu_13874_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DHX40
chr17:clu_13875_NA	Success	3.95125976127531	3	0.048069884295814	0.428961755885385	DHX40
chr17:clu_13876_NA	Success	0.87707832931784	1	0.185355034650222	0.612170174557582	DHX40
chr17:clu_13877_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLTC
chr17:clu_13878_NA	Success	1.6656447772362	2	0.189068711470806	0.616250498430597	CLTC
chr17:clu_13879_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTRH2
chr17:clu_13880_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VMP1
chr17:clu_13881_NA	Not enough valid samples	NA	NA	NA	NA	VMP1
chr17:clu_13882_NA	Success	0.0040555102723232	1	0.928238578266336	0.971762141915316	VMP1
chr17:clu_13883_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TUBD1
chr17:clu_13884_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TUBD1
chr17:clu_13885_NA	Not enough valid samples	NA	NA	NA	NA	RPS6KB1
chr17:clu_13886_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KB1
chr17:clu_13887_NA	Success	0.254429571279843	1	0.475633142004315	0.793439762761403	RPS6KB1
chr17:clu_13888_NA	Success	5.98196792907868	4	0.0176214721190366	0.303532504722611	RPS6KB1
chr17:clu_13889_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KB1
chr17:clu_13890_NA	Success	0.00844825788715298	1	0.896577029622693	0.959221503199576	RPS6KB1
chr17:clu_13891_NA	Success	1.30752504943871	4	0.624159392556825	0.858395986350647	RPS6KB1
chr17:clu_13892_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KB1
chr17:clu_13893_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RNFT1
chr17:clu_13894_NA	Success	0.359060073100395	1	0.396761228367053	0.75363447465191	HEATR6
chr17:clu_13895_NA	Not enough valid samples	NA	NA	NA	NA	HEATR6
chr17:clu_13896_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13897_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CA4
chr17:clu_13898_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CA4
chr17:clu_13899_NA	Success	1.70035636822553	1	0.0651682547873674	0.463377260811987	USP32
chr17:clu_13900_NA	Success	1.09845617793007	1	0.138287488961819	0.568678018833691	USP32
chr17:clu_13901_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	USP32
chr17:clu_13902_NA	Success	0.146605748865227	2	0.863634399147976	0.946886162334028	USP32
chr17:clu_13903_NA	Success	0.350138496185878	1	0.402690636451675	0.758200273309526	USP32
chr17:clu_13904_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APPBP2
chr17:clu_13905_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	APPBP2
chr17:clu_13906_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PPM1D
chr17:clu_13907_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPM1D
chr17:clu_13908_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BCAS3
chr17:clu_13909_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BCAS3
chr17:clu_13910_NA	Success	1.28674488674028	2	0.276168280601354	0.690611332508119	BCAS3
chr17:clu_13911_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BCAS3
chr17:clu_13912_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BCAS3
chr17:clu_13913_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BRIP1
chr17:clu_13914_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BRIP1
chr17:clu_13915_NA	Not enough valid samples	NA	NA	NA	NA	BRIP1
chr17:clu_13916_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	INTS2
chr17:clu_13917_NA	Not enough valid samples	NA	NA	NA	NA	INTS2
chr17:clu_13918_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MED13
chr17:clu_13919_NA	Success	0.588019771697873	3	0.758756567037258	0.909621333858927	MED13
chr17:clu_13920_NA	Success	0.408390610593187	2	0.664719181751603	0.874871533420457	MED13
chr17:clu_13921_NA	Success	1.29992530685794	1	0.106873788339299	0.528528284040368	MED13
chr17:clu_13922_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	METTL2A
chr17:clu_13923_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TLK2
chr17:clu_13924_NA	Success	3.89818310359283	4	0.0993288950921985	0.51954384151021	TLK2
chr17:clu_13925_NA	Success	2.70197362624185	3	0.144497849757201	0.57541887182899	TLK2
chr17:clu_13926_NA	Success	0.376341425160945	1	0.385628151560708	0.746539375744334	TLK2
chr17:clu_13927_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TANC2
chr17:clu_13928_NA	Success	4.80656234553089	3	0.0221578625311743	0.326543585530848	TANC2
chr17:clu_13929_NA	Success	4.02019405024839	7	0.329046003052681	0.718857847339677	TANC2
chr17:clu_13930_NA	Success	0.115706874315947	1	0.630477530884502	0.861486407251717	TANC2
chr17:clu_13931_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TANC2
chr17:clu_13932_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TANC2
chr17:clu_13933_NA	Success	0.639261177994371	2	0.527682143238164	0.813848181317203	TANC2
chr17:clu_13934_NA	Success	0.0725251508440579	2	0.930042355015882	0.972053389575694	TANC2
chr17:clu_13935_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACE
chr17:clu_13936_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACE
chr17:clu_13937_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MAP3K3
chr17:clu_13938_NA	Success	0.502525994671018	1	0.316091154425109	0.70919056089304	STRADA
chr17:clu_13939_NA	Success	0.0195743912549347	1	0.843154199595804	0.939408005511429	STRADA
chr17:clu_13940_NA	Success	3.60596729545784	2	0.0271611592361843	0.354078014847209	CCDC47
chr17:clu_13941_NA	Not enough valid samples	NA	NA	NA	NA	DDX42
chr17:clu_13942_NA	Success	0.990640864088277	2	0.371338637152964	0.739270607423054	DDX42
chr17:clu_13943_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DDX42
chr17:clu_13944_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FTSJ3
chr17:clu_13945_NA	Success	0.945674262323564	1	0.169049899840997	0.600522991308446	PSMC5
chr17:clu_13946_NA	Success	0.0298708885272845	2	0.970570837289436	0.987319668423018	PSMC5
chr17:clu_13947_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SNHG25
chr17:clu_13948_NA	Success	2.28290884110365	2	0.101987110523084	0.521357300374694	TEX2
chr17:clu_13949_NA	Not enough valid samples	NA	NA	NA	NA	PECAM1
chr17:clu_13950_NA	Not enough valid samples	NA	NA	NA	NA	PECAM1
chr17:clu_13951_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POLG2
chr17:clu_13952_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POLG2
chr17:clu_13953_NA	Success	2.08838078484121	1	0.0409819385742203	0.403346766360193	DDX5
chr17:clu_13954_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DDX5
chr17:clu_13955_NA	Success	0.49912892020194	1	0.317732427007905	0.710070905580188	DDX5
chr17:clu_13956_NA	Success	1.20013465091552	1	0.121314364662498	0.549271038106079	DDX5
chr17:clu_13957_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr17:clu_13958_NA	Success	0.460391453804391	2	0.631036575483648	0.861486407251717	CEP95
chr17:clu_13959_NA	Success	0.85221583623462	2	0.426468898969454	0.770471856449676	CEP95
chr17:clu_13960_NA	Success	1.30778347459346	2	0.270418782695769	0.68713280689385	CEP95
chr17:clu_13961_NA	Success	2.68937401996686	2	0.0679234447868213	0.46779737703252	CEP95
chr17:clu_13962_NA	Success	0.307309985113051	1	0.433053593568516	0.773862438997235	CEP95
chr17:clu_13963_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP95
chr17:clu_13964_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP95
chr17:clu_13965_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMURF2
chr17:clu_13966_NA	Success	1.43400366055124	1	0.0903566811260603	0.505465141122586	SMURF2
chr17:clu_13967_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SMURF2
chr17:clu_13968_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SMURF2
chr17:clu_13969_NA	Success	0.0104399999211751	1	0.88510633992716	0.955496565977617	SMURF2
chr17:clu_13970_NA	Not enough valid samples	NA	NA	NA	NA	SMURF2
chr17:clu_13971_NA	Success	3.05143309602443	1	0.0134962808188424	0.269299096570944	LOC146880
chr17:clu_13972_NA	Success	0.966328652773711	4	0.748143498290508	0.906614842224223	LOC146880
chr17:clu_13973_NA	Success	0.176428467264017	1	0.552500327129556	0.823894841536343	LOC146880
chr17:clu_13974_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LOC146880
chr17:clu_13975_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LOC146880
chr17:clu_13976_NA	Not enough valid samples	NA	NA	NA	NA	PLEKHM1P
chr17:clu_13977_NA	Not enough valid samples	NA	NA	NA	NA	PLEKHM1P
chr17:clu_13978_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHM1P
chr17:clu_13979_NA	Success	1.45669637641981	2	0.233004764664929	0.655190839385362	LRRC37A3
chr17:clu_13980_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LRRC37A3
chr17:clu_13981_NA	Not enough valid samples	NA	NA	NA	NA	LRRC37A3
chr17:clu_13982_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LRRC37A3
chr17:clu_13983_NA	Success	2.28070073975323	3	0.206878370442003	0.6344048939708	AMZ2P1
chr17:clu_13984_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AMZ2P1
chr17:clu_13985_NA	Success	0.118423110975243	2	0.888320115098354	0.956466997949548	AMZ2P1
chr17:clu_13986_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GNA13
chr17:clu_13987_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RGS9
chr17:clu_13988_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP112
chr17:clu_13989_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
